Start-Time: 28/09/2016 21:46:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
06/05/2017, Egadashi upto  09:47, Uthiram upto  20:41,  ,  , 
07/05/2017, Duvadasi upto  10:00, Hastham upto  21:49,  ,  , 
08/05/2017, Thirayodasi upto  10:45, Chithirai upto  23:25,  ,  , 
09/05/2017, Sathuradasi upto  11:57, Swathi upto  25:27+,  ,  , 
10/05/2017, Pournami upto  13:34, Visakam upto  27:49+,  ,  , 
11/05/2017, Pirathamai upto  15:27, Anusham upto Full Night,  ,  , 
12/05/2017, Thuthiyai upto  17:29, Anusham upto  06:23,  ,  , 
13/05/2017, Thiruthiyai upto  19:29, Kettai upto  09:00,  ,  , 
14/05/2017, Sathurthi upto  21:17, Moolam upto  11:29,  ,  , 
15/05/2017, Panjami upto  22:45, Pooradam upto  13:42,  ,  , 
16/05/2017, Shasti upto  23:47, Uthiradam upto  15:31,  ,  , 
17/05/2017, Sapthami upto  24:20+, Thiruvonam upto  16:53,  ,  , 
18/05/2017, Astami upto  24:22+, Avittam upto  17:45,  ,  , 
19/05/2017, Navami upto  23:54, Sathayam upto  18:07,  ,  , 
20/05/2017, Thasami upto  22:57, Poorattathi upto  18:01,  ,  , 
21/05/2017, Egadashi upto  21:35, Uthirattathi upto  17:29,  ,  , 
22/05/2017, Duvadasi upto  19:52, Revathi upto  16:34,  ,  , 
23/05/2017, Thirayodasi upto  17:51, Aswini upto  15:22,  ,  , 
24/05/2017, Sathuradasi upto  15:36, Bharani upto  13:56,  ,  , 
25/05/2017, Amavasai upto  13:12, Karthigai upto  12:20,  ,  , 
26/05/2017, Pirathamai upto  10:44, Rohini upto  10:40,  ,  , 
27/05/2017, Thuthiyai upto  08:17, Mirugasirisham upto  09:01,  ,  , 
28/05/2017, Thiruthiyai upto  05:56, Thiruvathirai upto  07:27, Sathurthi upto  27:45+,  , 
29/05/2017, Panjami upto  25:49+, Punarpoosam upto  06:05,  , Poosam upto  28:57+, 
30/05/2017, Shasti upto  24:11+, Ayilyam upto  28:09+,  ,  , 
31/05/2017, Sapthami upto  22:56, Magam upto  27:44+,  ,  , 
01/06/2017, Astami upto  22:07, Pooram upto  27:46+,  ,  , 
02/06/2017, Navami upto  21:48, Uthiram upto  28:17+,  ,  , 
03/06/2017, Thasami upto  21:58, Hastham upto  29:17+,  ,  , 
04/06/2017, Egadashi upto  22:40, Chithirai upto Full Night,  ,  , 
05/06/2017, Duvadasi upto  23:49, Chithirai upto  06:48,  ,  , 
06/06/2017, Thirayodasi upto  25:22+, Swathi upto  08:44,  ,  , 
07/06/2017, Sathuradasi upto  27:13+, Visakam upto  11:02,  ,  , 
08/06/2017, Pournami upto  29:14+, Anusham upto  13:34,  ,  , 
09/06/2017, Pirathamai upto Full Night, Kettai upto  16:12,  ,  , 
10/06/2017, Pirathamai upto  07:13, Moolam upto  18:43,  ,  , 
11/06/2017, Thuthiyai upto  09:00, Pooradam upto  21:00,  ,  , 
12/06/2017, Thiruthiyai upto  10:28, Uthiradam upto  22:55,  ,  , 
13/06/2017, Sathurthi upto  11:31, Thiruvonam upto  24:24+,  ,  , 
14/06/2017, Panjami upto  12:04, Avittam upto  25:22+,  ,  , 
15/06/2017, Shasti upto  12:07, Sathayam upto  25:51+,  ,  , 
16/06/2017, Sapthami upto  11:40, Poorattathi upto  25:52+,  ,  , 
17/06/2017, Astami upto  10:44, Uthirattathi upto  25:25+,  ,  , 
18/06/2017, Navami upto  09:23, Revathi upto  24:36+,  ,  , 
19/06/2017, Thasami upto  07:39, Aswini upto  23:27,  ,  , 
20/06/2017, Egadashi upto  05:39, Bharani upto  22:04, Duvadasi upto  27:24+,  , 
21/06/2017, Thirayodasi upto  25:00+, Karthigai upto  20:30,  ,  , 
22/06/2017, Sathuradasi upto  22:31, Rohini upto  18:50,  ,  , 
23/06/2017, Amavasai upto  20:03, Mirugasirisham upto  17:10,  ,  , 
24/06/2017, Pirathamai upto  17:41, Thiruvathirai upto  15:35,  ,  , 
25/06/2017, Thuthiyai upto  15:28, Punarpoosam upto  14:10,  ,  , 
26/06/2017, Thiruthiyai upto  13:30, Poosam upto  12:58,  ,  , 
27/06/2017, Sathurthi upto  11:50, Ayilyam upto  12:05,  ,  , 
28/06/2017, Panjami upto  10:33, Magam upto  11:35,  ,  , 
29/06/2017, Shasti upto  09:41, Pooram upto  11:30,  ,  , 
30/06/2017, Sapthami upto  09:19, Uthiram upto  11:54,  ,  , 
01/07/2017, Astami upto  09:26, Hastham upto  12:48,  ,  , 
02/07/2017, Navami upto  10:05, Chithirai upto  14:12,  ,  , 
03/07/2017, Thasami upto  11:11, Swathi upto  16:03,  ,  , 
04/07/2017, Egadashi upto  12:42, Visakam upto  18:16,  ,  , 
05/07/2017, Duvadasi upto  14:32, Anusham upto  20:46,  ,  , 
06/07/2017, Thirayodasi upto  16:31, Kettai upto  23:23,  ,  , 
07/07/2017, Sathuradasi upto  18:30, Moolam upto  25:57+,  ,  , 
08/07/2017, Pournami upto  20:18, Pooradam upto  28:18+,  ,  , 
09/07/2017, Pirathamai upto  21:47, Uthiradam upto Full Night,  ,  , 
10/07/2017, Thuthiyai upto  22:52, Uthiradam upto  06:18,  ,  , 
11/07/2017, Thiruthiyai upto  23:28, Thiruvonam upto  07:53,  ,  , 
12/07/2017, Sathurthi upto  23:33, Avittam upto  08:59,  ,  , 
13/07/2017, Panjami upto  23:07, Sathayam upto  09:34,  ,  , 
14/07/2017, Shasti upto  22:14, Poorattathi upto  09:41,  ,  , 
15/07/2017, Sapthami upto  20:54, Uthirattathi upto  09:21,  ,  , 
16/07/2017, Astami upto  19:13, Revathi upto  08:36,  ,  , 
17/07/2017, Navami upto  17:13, Aswini upto  07:32,  ,  , 
18/07/2017, Thasami upto  15:00, Bharani upto  06:11,  , Karthigai upto  28:39+, 
19/07/2017, Egadashi upto  12:36, Rohini upto  27:01+,  ,  , 
20/07/2017, Duvadasi upto  10:08, Mirugasirisham upto  25:20+,  ,  , 
21/07/2017, Thirayodasi upto  07:40, Thiruvathirai upto  23:44, Sathuradasi upto  29:17+,  , 
22/07/2017, Amavasai upto  27:03+, Punarpoosam upto  22:15,  ,  , 
23/07/2017, Pirathamai upto  25:04+, Poosam upto  21:00,  ,  , 
24/07/2017, Thuthiyai upto  23:23, Ayilyam upto  20:03,  ,  , 
25/07/2017, Thiruthiyai upto  22:04, Magam upto  19:27,  ,  , 
26/07/2017, Sathurthi upto  21:11, Pooram upto  19:16,  ,  , 
27/07/2017, Panjami upto  20:46, Uthiram upto  19:33,  ,  , 
28/07/2017, Shasti upto  20:52, Hastham upto  20:20,  ,  , 
29/07/2017, Sapthami upto  21:29, Chithirai upto  21:37,  ,  , 
30/07/2017, Astami upto  22:34, Swathi upto  23:22,  ,  , 
31/07/2017, Navami upto  24:04+, Visakam upto  25:31+,  ,  , 
01/08/2017, Thasami upto  25:53+, Anusham upto  27:58+,  ,  , 
02/08/2017, Egadashi upto  27:53+, Kettai upto Full Night,  ,  , 
03/08/2017, Duvadasi upto Full Night, Kettai upto  06:34,  ,  , 
04/08/2017, Duvadasi upto  05:53, Moolam upto  09:09,  ,  , 
05/08/2017, Thirayodasi upto  07:43, Pooradam upto  11:34,  ,  , 
06/08/2017, Sathuradasi upto  09:15, Uthiradam upto  13:40,  ,  , 
07/08/2017, Pournami upto  10:22, Thiruvonam upto  15:21,  ,  , 
08/08/2017, Pirathamai upto  11:01, Avittam upto  16:34,  ,  , 
09/08/2017, Thuthiyai upto  11:09, Sathayam upto  17:16,  ,  , 
10/08/2017, Thiruthiyai upto  10:47, Poorattathi upto  17:29,  ,  , 
11/08/2017, Sathurthi upto  09:56, Uthirattathi upto  17:15,  ,  , 
12/08/2017, Panjami upto  08:39, Revathi upto  16:36,  ,  , 
13/08/2017, Shasti upto  07:00, Aswini upto  15:35, Sapthami upto  29:02+,  , 
14/08/2017, Astami upto  26:50+, Bharani upto  14:18,  ,  , 
15/08/2017, Navami upto  24:29+, Karthigai upto  12:48,  ,  , 
16/08/2017, Thasami upto  22:01, Rohini upto  11:11,  ,  , 
17/08/2017, Egadashi upto  19:34, Mirugasirisham upto  09:30,  ,  , 
18/08/2017, Duvadasi upto  17:11, Thiruvathirai upto  07:52,  ,  , 
19/08/2017, Thirayodasi upto  14:58, Punarpoosam upto  06:22,  , Poosam upto  29:04+, 
20/08/2017, Sathuradasi upto  12:59, Ayilyam upto  28:02+,  ,  , 
21/08/2017, Amavasai upto  11:17, Magam upto  27:20+,  ,  , 
22/08/2017, Pirathamai upto  09:58, Pooram upto  27:03+,  ,  , 
23/08/2017, Thuthiyai upto  09:05, Uthiram upto  27:14+,  ,  , 
24/08/2017, Thiruthiyai upto  08:40, Hastham upto  27:54+,  ,  , 
25/08/2017, Sathurthi upto  08:45, Chithirai upto  29:04+,  ,  , 
26/08/2017, Panjami upto  09:21, Swathi upto Full Night,  ,  , 
27/08/2017, Shasti upto  10:27, Swathi upto  06:43,  ,  , 
28/08/2017, Sapthami upto  11:57, Visakam upto  08:46,  ,  , 
29/08/2017, Astami upto  13:47, Anusham upto  11:10,  ,  , 
30/08/2017, Navami upto  15:48, Kettai upto  13:45,  ,  , 
31/08/2017, Thasami upto  17:51, Moolam upto  16:21,  ,  , 
01/09/2017, Egadashi upto  19:43, Pooradam upto  18:49,  ,  , 
02/09/2017, Duvadasi upto  21:18, Uthiradam upto  21:00,  ,  , 
03/09/2017, Thirayodasi upto  22:28, Thiruvonam upto  22:47,  ,  , 
04/09/2017, Sathuradasi upto  23:10, Avittam upto  24:07+,  ,  , 
