Start-Time: 13/09/2017 09:28:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
29/08/2018, Thiruthiyai upto  06:49, Revathi upto Full Night,  ,  , 
30/08/2018, Sathurthi upto  06:57, Revathi upto  06:10,  ,  , 
31/08/2018, Panjami upto  06:34, Aswini upto  06:29, Shasti upto  29:42+,  , 
01/09/2018, Sapthami upto  28:25+, Bharani upto  06:21,  , Karthigai upto  29:46+, 
02/09/2018, Astami upto  26:45+, Rohini upto  28:50+,  ,  , 
03/09/2018, Navami upto  24:48+, Mirugasirisham upto  27:37+,  ,  , 
04/09/2018, Thasami upto  22:36, Thiruvathirai upto  26:09+,  ,  , 
05/09/2018, Egadashi upto  20:15, Punarpoosam upto  24:33+,  ,  , 
06/09/2018, Duvadasi upto  17:49, Poosam upto  22:53,  ,  , 
07/09/2018, Thirayodasi upto  15:22, Ayilyam upto  21:14,  ,  , 
08/09/2018, Sathuradasi upto  13:01, Magam upto  19:41,  ,  , 
09/09/2018, Amavasai upto  10:50, Pooram upto  18:20,  ,  , 
10/09/2018, Pirathamai upto  08:53, Uthiram upto  17:14,  ,  , 
11/09/2018, Thuthiyai upto  07:14, Hastham upto  16:28, Thiruthiyai upto  29:58+,  , 
12/09/2018, Sathurthi upto  29:08+, Chithirai upto  16:05,  ,  , 
13/09/2018, Panjami upto  28:46+, Swathi upto  16:09,  ,  , 
14/09/2018, Shasti upto  28:55+, Visakam upto  16:43,  ,  , 
15/09/2018, Sapthami upto  29:35+, Anusham upto  17:46,  ,  , 
16/09/2018, Astami upto Full Night, Kettai upto  19:19,  ,  , 
17/09/2018, Astami upto  06:44, Moolam upto  21:17,  ,  , 
18/09/2018, Navami upto  08:18, Pooradam upto  23:37,  ,  , 
19/09/2018, Thasami upto  10:11, Uthiradam upto  26:10+,  ,  , 
20/09/2018, Egadashi upto  12:14, Thiruvonam upto  28:47+,  ,  , 
21/09/2018, Duvadasi upto  14:18, Avittam upto Full Night,  ,  , 
22/09/2018, Thirayodasi upto  16:11, Avittam upto  07:18,  ,  , 
23/09/2018, Sathuradasi upto  17:45, Sathayam upto  09:33,  ,  , 
24/09/2018, Pournami upto  18:55, Poorattathi upto  11:26,  ,  , 
25/09/2018, Pirathamai upto  19:36, Uthirattathi upto  12:52,  ,  , 
26/09/2018, Thuthiyai upto  19:46, Revathi upto  13:48,  ,  , 
27/09/2018, Thiruthiyai upto  19:25, Aswini upto  14:14,  ,  , 
28/09/2018, Sathurthi upto  18:36, Bharani upto  14:12,  ,  , 
29/09/2018, Panjami upto  17:22, Karthigai upto  13:43,  ,  , 
30/09/2018, Shasti upto  15:44, Rohini upto  12:52,  ,  , 
01/10/2018, Sapthami upto  13:48, Mirugasirisham upto  11:42,  ,  , 
02/10/2018, Astami upto  11:38, Thiruvathirai upto  10:18,  ,  , 
03/10/2018, Navami upto  09:19, Punarpoosam upto  08:43,  ,  , 
04/10/2018, Thasami upto  06:54, Poosam upto  07:03, Egadashi upto  28:30+, Ayilyam upto  29:23+, 
05/10/2018, Duvadasi upto  26:10+, Magam upto  27:49+,  ,  , 
06/10/2018, Thirayodasi upto  24:01+, Pooram upto  26:25+,  ,  , 
07/10/2018, Sathuradasi upto  22:05, Uthiram upto  25:15+,  ,  , 
08/10/2018, Amavasai upto  20:28, Hastham upto  24:23+,  ,  , 
09/10/2018, Pirathamai upto  19:14, Chithirai upto  23:55,  ,  , 
10/10/2018, Thuthiyai upto  18:25, Swathi upto  23:53,  ,  , 
11/10/2018, Thiruthiyai upto  18:05, Visakam upto  24:19+,  ,  , 
12/10/2018, Sathurthi upto  18:17, Anusham upto  25:16+,  ,  , 
13/10/2018, Panjami upto  18:59, Kettai upto  26:42+,  ,  , 
14/10/2018, Shasti upto  20:10, Moolam upto  28:35+,  ,  , 
15/10/2018, Sapthami upto  21:47, Pooradam upto Full Night,  ,  , 
16/10/2018, Astami upto  23:42, Pooradam upto  06:50,  ,  , 
17/10/2018, Navami upto  25:48+, Uthiradam upto  09:21,  ,  , 
18/10/2018, Thasami upto  27:54+, Thiruvonam upto  11:58,  ,  , 
19/10/2018, Egadashi upto  29:49+, Avittam upto  14:31,  ,  , 
20/10/2018, Duvadasi upto Full Night, Sathayam upto  16:51,  ,  , 
21/10/2018, Duvadasi upto  07:25, Poorattathi upto  18:49,  ,  , 
22/10/2018, Thirayodasi upto  08:37, Uthirattathi upto  20:22,  ,  , 
23/10/2018, Sathuradasi upto  09:20, Revathi upto  21:25,  ,  , 
24/10/2018, Pournami upto  09:31, Aswini upto  21:58,  ,  , 
25/10/2018, Pirathamai upto  09:12, Bharani upto  22:02,  ,  , 
26/10/2018, Thuthiyai upto  08:25, Karthigai upto  21:39,  ,  , 
