Start-Time: 05/09/2015 10:38:45

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
03/05/2016, Duvadasi upto  23:25, Poorattathi upto  05:50,  , Uthirattathi upto  27:31+, 
04/05/2016, Thirayodasi upto  19:59, Revathi upto  24:48+,  ,  , 
05/05/2016, Sathuradasi upto  16:16, Aswini upto  21:53,  ,  , 
06/05/2016, Amavasai upto  12:29, Bharani upto  18:55,  ,  , 
07/05/2016, Pirathamai upto  08:47, Karthigai upto  16:06, Thuthiyai upto  29:21+,  , 
08/05/2016, Thiruthiyai upto  26:22+, Rohini upto  13:37,  ,  , 
09/05/2016, Sathurthi upto  24:00+, Mirugasirisham upto  11:39,  ,  , 
10/05/2016, Panjami upto  22:22, Thiruvathirai upto  10:22,  ,  , 
11/05/2016, Shasti upto  21:35, Punarpoosam upto  09:53,  ,  , 
12/05/2016, Sapthami upto  21:40, Poosam upto  10:15,  ,  , 
13/05/2016, Astami upto  22:35, Ayilyam upto  11:26,  ,  , 
14/05/2016, Navami upto  24:11+, Magam upto  13:23,  ,  , 
15/05/2016, Thasami upto  26:20+, Pooram upto  15:54,  ,  , 
16/05/2016, Egadashi upto  28:47+, Uthiram upto  18:49,  ,  , 
17/05/2016, Duvadasi upto Full Night, Hastham upto  21:55,  ,  , 
18/05/2016, Duvadasi upto  07:22, Chithirai upto  25:01+,  ,  , 
19/05/2016, Thirayodasi upto  09:52, Swathi upto  27:58+,  ,  , 
20/05/2016, Sathuradasi upto  12:11, Visakam upto Full Night,  ,  , 
21/05/2016, Pournami upto  14:14, Visakam upto  06:40,  ,  , 
22/05/2016, Pirathamai upto  15:56, Anusham upto  09:04,  ,  , 
23/05/2016, Thuthiyai upto  17:17, Kettai upto  11:07,  ,  , 
24/05/2016, Thiruthiyai upto  18:15, Moolam upto  12:49,  ,  , 
25/05/2016, Sathurthi upto  18:49, Pooradam upto  14:08,  ,  , 
26/05/2016, Panjami upto  18:58, Uthiradam upto  15:02,  ,  , 
27/05/2016, Shasti upto  18:38, Thiruvonam upto  15:29,  ,  , 
28/05/2016, Sapthami upto  17:48, Avittam upto  15:26,  ,  , 
29/05/2016, Astami upto  16:26, Sathayam upto  14:52,  ,  , 
30/05/2016, Navami upto  14:33, Poorattathi upto  13:47,  ,  , 
31/05/2016, Thasami upto  12:09, Uthirattathi upto  12:11,  ,  , 
01/06/2016, Egadashi upto  09:19, Revathi upto  10:09,  ,  , 
02/06/2016, Duvadasi upto  06:09, Aswini upto  07:46, Thirayodasi upto  26:46+, Bharani upto  29:12+, 
03/06/2016, Sathuradasi upto  23:19, Karthigai upto  26:35+,  ,  , 
04/06/2016, Amavasai upto  19:59, Rohini upto  24:06+,  ,  , 
05/06/2016, Pirathamai upto  16:55, Mirugasirisham upto  21:56,  ,  , 
06/06/2016, Thuthiyai upto  14:19, Thiruvathirai upto  20:16,  ,  , 
07/06/2016, Thiruthiyai upto  12:20, Punarpoosam upto  19:15,  ,  , 
08/06/2016, Sathurthi upto  11:05, Poosam upto  19:01,  ,  , 
09/06/2016, Panjami upto  10:40, Ayilyam upto  19:36,  ,  , 
10/06/2016, Shasti upto  11:05, Magam upto  21:00,  ,  , 
11/06/2016, Sapthami upto  12:18, Pooram upto  23:07,  ,  , 
12/06/2016, Astami upto  14:09, Uthiram upto  25:46+,  ,  , 
13/06/2016, Navami upto  16:26, Hastham upto  28:45+,  ,  , 
14/06/2016, Thasami upto  18:56, Chithirai upto Full Night,  ,  , 
15/06/2016, Egadashi upto  21:24, Chithirai upto  07:50,  ,  , 
16/06/2016, Duvadasi upto  23:39, Swathi upto  10:47,  ,  , 
17/06/2016, Thirayodasi upto  25:33+, Visakam upto  13:27,  ,  , 
18/06/2016, Sathuradasi upto  27:00+, Anusham upto  15:44,  ,  , 
